	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
32	déjà	acteur	tête	animal	pied	compagnon	vivre	voilà	air	maître	prieur	heureux	souffrir	recevoir	femme	croire	fête	parler	gloire	grand	moins	précipiter	unir	écrier	passer	puis	mettre	baiser	doute	accuser	créature	maison	donner	mériter	temps	ailleurs	personne	heureux	secret	paraître
33	crainte	nom	escalier	sage	blanc	aborder	tenir	domestique	haut	héro|héros	ange	seul	pleur|pleurs	apercevoir	apprendre	toucher	charme	croire	grand	prouver	sûr	agiter	consentir	peine	félicité	évêque	jour	bonheur	près	donner	doute	dîner	juger	fortune	recevoir	ici	cher	tendre	aveu	silence
34	danger	point	monter	chrétien	jour	point	objet	château	habiter	paix	vie	particulier	sein	abord	suivre	plaisir	brillant	tant	valeur	fée	demander	mouvement	connaître	oser	tant	langue	voilà	lieu	portail	prison	laisser	petit	assez	préjugé	terre	lady	bonheur	élever	charme	apercevoir
35	tenir	tant	laisser	foi	pauvre	langue	goût	porte	fleur	inca	jeune	révolution	apprendre	vivre	infortuné	douleur	esprit	nièce	main	cependant	apprendre	devenir	laisser	écouter	souvent	garçon	donner	temple	assez	supplice	exiger	près	question	gloire	prix	détail	st	ciel	perdre	saisir
36	occasion	temps	nuit	opinion	enfant	docteur	petit	revenir	campagne	guerre	autel	ordre	triste	reprendre	projet	montrer	apercevoir	encore	courage	long	papier	saisir	remplir	air	livrer	sucer	souvent	sourire	femme	malheur	alors	prier	curiosité	digne	servir	temps	souvent	aimer	rival	encore
37	grand	public	coucher	effet	voilà	porter	lieu	aventure	plaine	nom	demander	humanité	jamais	cependant	temps	penser	trait	toujours	honneur	inspirer	mot	couvrir	seul	taire	jamais	ainsi	amuser	bientôt	chapitre	commettre	sûr	bon	recevoir	vrai	ressource	éprouver	esprit	apprendre	objet	oser
38	refuser	poète	clef	terre	garçon	jeter	devenir	rencontrer	pierre	ennemi	eusèbe	paix	laisser	malheureux	personne	esprit	spectacle	plaisir	vainqueur	ignorer	dernier	trait	vœu	interrompre	esprit	fouetter	temps	entendre	foi|fois	ennemi	vertu	promettre	ajouter	conduite	passer	parfaitement	jour	paternel	digne	laisser
39	conseil	mot	tomber	éternel	foi|fois	envoyer	exemple	entrer	pays	nation	cérémonie	tant	abandonner	ici	toujours	objet	présenter	fort	ordre	mettre	arriver	temps	honneur	doute	délicieux	trou	personne	déjà	charmant	rage	tenir	maître|maîtresse	maison	vérité	beaucoup	alors	laisser	année	raison	foi|fois
40	rester	langue	donner	philosophe	mourir	flot	usage	heure	endroit	sang	beau	empire	consolation	honnête	pauvre	affliger	ton	dame	nouveau	permettre	jamais	nouveau	part	question	nature	vivre	rire	troupeau	maintenant	scélérat	saint	porte	vif	tant	famille	baron	intérêt	joie	combien	temps
41	éloigner	composer	frapper	fil|fils	dîner	présenter	servir	côté	marcher	servir	personne	publique	plaindre	bras	ignorer	souvent	rire	aîné	écuyer	vanité	foi|fois	croire	cher	seul	moins	derrière	ridicule	briller	bientôt	ciel	bientôt	dormir	part	estimer	perdre	parler	sembler	jeter	moment	tenir
42	forcer	personnage	alors	éclairer	repas	pacha	utile	marcher	route	prêtre	piété	province	consoler	auprès	rencontrer	oser	beaucoup	présent	vaincre	ailleurs	combien	élancer	décider	moins	quelquefois	vieux	quelquefois	charme	rire	infâme	ici	rentrer	mot	droit	fort	impossible	souffrir	vivre	faiblesse	approcher
43	engager	hui	haut	livre	jambe	apprendre	jeune	carrosse	désert	conseil	frère	autorité	arracher	habit	chaumière	vif	manière	aimable	suivre	plaire	oser	apercevoir	attendre	monde	jouissance	duclos	vrai	nature	mot	perfide	réussir	foi|fois	foi|fois	servir	misère	conter	campagne	appeler	sacrifice	asseoir
44	espérer	homme	coup	existence	feu	bâtiment	force	village	travail	joie	chapelle	luxe	infortune	raconter	château	souvenir	occuper	embrasser	corps	raison	prier	autour	union	parole	occuper	décharge	vérité	charmant	beaucoup	croire	recevoir	recevoir	air	croire	charger	chambre	maison	digne	mériter	embrasser
45	liberté	peindre	mur	pourquoi	tirer	tant	peine	pied	habitant	envoyer	abbé	famille	quitter	déjà	penser	sembler	nouveau	pleurer	sang	propre	toujours	déjà	accorder	ton	œil	délicieux	propos	jamais	là	écrier	malheureux	retirer	femme	mépriser	cent	absolument	plaisir	respectable	cacher	tendre
46	force	savant	tenir	divin	mauvais	bateau	mettre	chaise	espèce	ordre	abbaye	art	pitié	assez	petit	marquis	enchanter	arriver	commander	sentiment	tant	flamme	accepter	personne	sen|sens	volupté	encore	mortel	heureux	condamner	compagne	seul	idée	respect	procurer	cher	société	vertueux	devenir	porter
47	manquer	ver|vers	tour	prouver	apporter	français	tant	jeter	sauvage	sultan	ingénu	libre	accabler	embrasser	maison	quitter	jeu	revenir	milieu	plaindre	heureux	étendre	désirer	assez	moment	chier	tenir	chant	perdre	remords	manière	grand	sortir	action	obliger	intéressant	fort	épouse	droit	joie
48	soutenir	aujourd	conduire	rapport	verre	charger	presque	sortir	ruisseau	obéir	pape	régner	vertu	apprendre	tant	long	éclat	mariage	côté	fort	lire|liser	perdre	exiger	aimer	pur	doigt	valoir	long	duchesse	mériter	convaincre	répondre	regarder	mépris	place	inspirer	craindre	parler	inspirer	alors
49	résoudre	rôle	près	culte	dent	vie	juger	crier	oiseau	état	pied	travail	moins	coup	retrouver	chercher	maître|maîtresse	père	héro|héros	seul	désirer	tour	sentiment	ajouter	remplir	bougre	presque	déesse	ailleurs	arracher	désir	malade	connaissance	honorer	partie	baron|baronne	quelquefois	chérir	instant	revenir
