	id	Ranked topics
57	Mirabeau_Conversion	[(0.1382325362706611, 18), (0.1109190541829661, 17), (0.08289189322961123, 15), (0.07830535665158286, 6), (0.06754999323287134, 16), (0.05725809817595191, 2), (0.053158134471975496, 13), (0.048597691755974434, 5), (0.042094826726690696, 11), (0.03961524461584109, 8)]
58	Mirabeau_Rideau	[(0.15103791411727185, 6), (0.13794033900533004, 17), (0.11634912917030388, 8), (0.11519803017887273, 15), (0.09488657691632403, 0), (0.06046257081570141, 2), (0.05353167045401561, 13), (0.04312458953314186, 5), (0.04281109071148323, 19), (0.04230243241231888, 1)]
59	Morelly_Naufrage1	[(0.17223827188455704, 9), (0.15535466604146622, 17), (0.11084149755074517, 4), (0.07729716145377721, 0), (0.07692165998475434, 8), (0.07017710085446294, 2), (0.0608607792359687, 14), (0.058604291290442215, 10), (0.05018317671734103, 5), (0.02717314473675819, 11)]
60	Morelly_Naufrage2	[(0.20314509540667933, 9), (0.15202883419813598, 10), (0.11467010251392352, 4), (0.07113193997767699, 2), (0.06950192462056179, 0), (0.06746025952065675, 8), (0.05902453141152845, 14), (0.05871008800854265, 5), (0.05721989014815, 17), (0.037232757262152576, 11)]
61	Nerciat_Aphrodites	[(0.2363748631613998, 18), (0.09276821236003907, 15), (0.08424958890410064, 7), (0.06327154908357137, 17), (0.045529480055536656, 6), (0.0443825405568254, 13), (0.04201777857928867, 16), (0.04091964963777493, 0), (0.03671224515343752, 2), (0.03619138499222285, 19)]
62	Nerciat_Etourdi	[(0.1504089414467892, 18), (0.13517886194661685, 17), (0.10203625934577384, 8), (0.08707471818891822, 5), (0.06938796695232431, 2), (0.06505166926416618, 15), (0.060884370448106, 19), (0.060510491042499975, 13), (0.04412639169552651, 1), (0.039157291923833895, 11)]
63	Nerciat_Felicia	[(0.16966314456229614, 18), (0.08883862769422103, 15), (0.08603711090719081, 8), (0.07393968621254049, 19), (0.0699497069458291, 5), (0.06792692497398857, 17), (0.06284407674863693, 13), (0.04980473707436119, 2), (0.046988427267527465, 7), (0.04137240963554466, 14)]
64	Popeliniere_Daira1	[(0.24734049573344905, 14), (0.22291431303190773, 2), (0.07512466145726493, 15), (0.05421208209103926, 5), (0.04840733812589063, 13), (0.047630178279052485, 4), (0.04183937918201697, 17), (0.037982376033138116, 8), (0.037486485918431386, 9), (0.03490953382616749, 0)]
65	Popeliniere_Daira2	[(0.2365311077039775, 14), (0.21938601347819348, 2), (0.07513989729386346, 1), (0.07279455284788278, 9), (0.049845010865869635, 4), (0.043186375575408435, 19), (0.04278877208578098, 5), (0.04230894514988615, 15), (0.04179049117733991, 13), (0.03408418046845784, 17)]
66	Puget_Periphas1	[(0.3341297684403419, 9), (0.07947619930605128, 2), (0.06800785627500901, 17), (0.06584214461411203, 11), (0.05940556160861145, 5), (0.05226018291212648, 14), (0.05077733222121973, 10), (0.05032929013837132, 0), (0.049046998748626267, 8), (0.04190420910778687, 4)]
67	Puget_Periphas2	[(0.3129439787094745, 9), (0.09751243585346016, 17), (0.07565819245734841, 5), (0.07131268627604094, 12), (0.06756658478332614, 2), (0.06423201886720177, 4), (0.06076821000472151, 14), (0.04074997222507504, 10), (0.034115335805279035, 15), (0.03014608896074018, 8)]
68	Retif_AntiJustine	[(0.5046737046876029, 6), (0.10071390323761416, 1), (0.06993451810232154, 15), (0.04767682727924903, 18), (0.03760347278065435, 19), (0.030255412044574895, 17), (0.02335866700179073, 13), (0.02305209497328334, 16), (0.02200996471719994, 2), (0.0196007631742477, 11)]
69	Retif_Paysanne	[(0.17491937816355896, 1), (0.10773956064936367, 7), (0.08838469516713351, 18), (0.06152986014899463, 19), (0.061190509792665077, 8), (0.05936628469286372, 14), (0.058812074753950935, 5), (0.05724657997729635, 2), (0.05701930516744781, 15), (0.04855256981374915, 10)]
70	Reveroni_Pauliska	[(0.16370334832902605, 15), (0.12302516512607525, 2), (0.08624795374585552, 14), (0.058525944618923034, 17), (0.057925468096535974, 4), (0.05600045194906296, 12), (0.05288990937542384, 0), (0.049430871104071135, 8), (0.04637255399870936, 13), (0.0443363284483134, 5)]
71	Riccoboni_MylordRivers	[(0.37680796861081706, 8), (0.1272056228053049, 5), (0.05327530682371705, 18), (0.050184974631476566, 2), (0.050003692643490825, 7), (0.0443807058862404, 0), (0.042599381690611886, 19), (0.036567140399342016, 11), (0.029847849882132793, 10), (0.028574949698731863, 1)]
72	Rosny_Firmin	[(0.12674135380496318, 11), (0.11192377810405857, 5), (0.09500356392209504, 2), (0.09460497155359328, 8), (0.07786011095919504, 3), (0.07579429460631515, 14), (0.054823946397819436, 0), (0.05393399260891372, 13), (0.04362641660177848, 15), (0.040315167863782767, 19)]
