	Topic	Top-Words	Label 1	Label 2	Label 3	Label 4	Label 5
10	10	['voir', 'venir', 'homme', 'arriver', 'apprendre', 'ville', 'vivre', 'jour', 'écrier', 'prendre', 'fille', 'rendre', 'trouver', 'ciel', 'jeune', 'reprendre', 'point', 'femme', 'grand', 'moment']	('amour', 0.2421)	('bonheur', 0.2146)	('voyage', 0.2002)	('passion', 0.1967)	('pouvoir', 0.1753)
11	11	['mort', 'voir', 'main', 'mourir', 'œil', 'affreux', 'douleur', 'malheureux', 'coup', 'sang', 'vie', 'tomber', 'encore', 'ciel', 'bras', 'cruel', 'venir', 'larme', 'horreur', 'cri']	('mort', 0.3727)	('bonheur', 0.3279)	('amour', 0.3164)	('mélancolie', 0.2747)	('terreur', 0.2543)
12	12	['homme', 'nature', 'loi', 'dieu', 'vertu', 'crime', 'jamais', 'croire', 'seul', 'religion', 'vice', 'devenir', 'action', 'principe', 'mal', 'femme', 'chose', 'voilà', 'servir', 'toujours']	('vertu', 0.3828)	('pouvoir', 0.3694)	('dieu', 0.2997)	('religion', 0.2806)	('bonheur', 0.2772)
13	13	['livre', 'homme', 'grand', 'auteur', 'ouvrage', 'candide', 'lire', 'temps', 'pays', 'donner', 'histoire', 'siècle', 'esprit', 'monde', 'ancien', 'gens', 'public', 'roman', 'écrire', 'parler']	('livre', 0.5689)	('lecture', 0.2513)	('poésie', 0.2373)	('philosophe', 0.2188)	('voyage', 0.1994)
14	14	['amour', 'amant', 'beau', 'berger', 'berger|bergère', 'fleur', 'jeune', 'venir', 'aimer', 'doux', 'œil', 'encore', 'princesse', 'donner', 'tendre', 'dieu', 'plaisir', 'cœur', 'main', 'oiseau']	('amour', 0.5554)	('bonheur', 0.4558)	('passion', 0.3046)	('dieu', 0.2943)	('mélancolie', 0.2295)
15	15	['femme', 'voir', 'savoir', 'homme', 'croire', 'là', 'chose', 'trouver', 'parler', 'plaisir', 'aimer', 'bon', 'toujours', 'suivre|être', 'monde', 'beaucoup', 'beau', 'grand', 'ami', 'penser']	('pouvoir', 0.3861)	('bonheur', 0.292)	('amour', 0.2757)	('raison', 0.2588)	('passion', 0.2113)
16	16	['beau', 'œil', 'voir', 'air', 'petit', 'grand', 'figure', 'paraître', 'beauté', 'grâce', 'jeune', 'regard', 'donner', 'musique', 'trait', 'placer', 'blanc', 'couleur', 'tableau', 'portrait']	('paysage', 0.3498)	('peinture', 0.3312)	('amour', 0.2579)	('artiste', 0.242)	('sensibilité', 0.2312)
17	17	['comte', 'durut', 'bon', 'marquise', 'petit', 'beau', 'duchesse', 'chevalier', 'mettre', 'dame', 'fort', 'monseigneur', 'encore', 'cependant', 'moment', 'baiser', 'joli', 'ci', 'déjà', 'prince']	('amour', 0.2455)	('pouvoir', 0.231)	('bonheur', 0.2221)	('libertinage', 0.1284)	('passion', 0.1109)
18	18	['point', 'savoir', 'cœur', 'croire', 'moins', 'jamais', 'rendre', 'vertu', 'seul', 'raison', 'encore', 'aimer', 'amour', 'craindre', 'oser', 'honneur', 'suivre|être', 'connaître', 'mal', 'tant']	('raison', 0.4226)	('pouvoir', 0.4087)	('amour', 0.318)	('bonheur', 0.3044)	('vertu', 0.2685)
19	19	['terre', 'eau', 'arbre', 'soleil', 'montagne', 'mer', 'lieu', 'île', 'grand', 'nature', 'bois', 'trouver', 'couvrir', 'petit', 'pied', 'rocher', 'fruit', 'forêt', 'vent', 'autour']	('terre', 0.3761)	('paysage', 0.2799)	('nature', 0.2668)	('sauvage', 0.2476)	('dieu', 0.1714)
