	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
mère	0.013905773810515096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008549191914031234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13687626343228004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007097817126829321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bon	0.011524305960331074	0.0	0.0	0.0	0.0	0.0	0.007325257816336553	0.0	0.01722672638238746	0.0	0.0	0.0049265391791044775	0.0	0.0	0.0	0.0	0.004201863941028511	0.029155809874146357	0.0	0.0	0.0	0.0	0.012616934516670664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065870847116352655	0.005945303210463734	0.007852182954667686	0.0	0.016034933754882432	0.011256476559420931	0.0	0.0	0.007548519291734323	0.0033499917623153385	0.0035874120906443136	0.00923857147923538	0.0	0.0	0.0	0.007092968552093511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012985132264916007	0.015224084844338008	0.0	0.0	0.006592906941497423
frère	0.010025480040634836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006267490671641791	0.0	0.0	0.0	0.0	0.0	0.056693744784482025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
donner	0.009542525022066048	0.0	0.0	0.007408807408807409	0.0	0.005904527210842859	0.0074071042723850055	0.0	0.0	0.0	0.0	0.0	0.0057358465026564245	0.0	0.013426724137931034	0.004830917874396135	0.004390875121766819	0.007714709037960456	0.012432539813925768	0.0	0.009383783783783784	0.0	0.005061165747181578	0.009575483644723257	0.004797279155106059	0.006017807798587657	0.006699112510735758	0.0	0.009040193574405163	0.010800432017280691	0.0	0.0	0.01566279880273894	0.005999689259122037	0.0	0.008790149361650847	0.005863749531380673	0.00535422970203154	0.0	0.0067753034872032785	0.0	0.006677559139021098	0.019168705890697593	0.0	0.004226096143687269	0.0	0.012394600658632795	0.008757112375533428	0.0	0.006116871285410611	0.008885653416694323	0.0	0.009193001323626738	0.004969545044747894	0.004533810433863294	0.013226491600695115	0.0	0.0	0.0074908837358309225	0.006769728200464787
nom	0.009475910536746216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004428879310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.0040176285172281966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008079262827024895	0.0	0.0	0.0	0.0	0.0	0.0	0.004173760228458455	0.0	0.0038833918501968295	0.0	0.0	0.0032640119369579407	0.0	0.0	0.0	0.0	0.0	0.006273432015414719	0.006566429516876241	0.0	0.0	0.0	0.0	0.0	0.0	0.0
parler	0.008776458440887971	0.0	0.0	0.004422604422604423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020069326216659765	0.004331896551724138	0.0	0.014335771092920804	0.00853216165125428	0.0	0.0	0.0	0.0	0.0	0.0	0.005907097467108207	0.0	0.0	0.0	0.0	0.0	0.006570161133369573	0.003883215878038257	0.0	0.005414062219885026	0.0	0.020507985567141854	0.012006267483105673	0.0	0.0	0.007848140415990103	0.005034140626430154	0.0	0.004734546228322162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005513387360960935	0.0	0.007786647915287889	0.0	0.0	0.0	0.0	0.0	0.0	0.0
paternel	0.007077789065232235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
embrasser	0.006761370259963029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004598170949777755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003369152746746108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010948939498157902	0.0
âge	0.006594834046663447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015293779982779122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004416187161090194	0.007660389403127992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cœur	0.006145186270754575	0.0	0.016553075860840125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018760775862068965	0.0	0.0	0.006318227490250175	0.0	0.0	0.0	0.012052885551684591	0.0	0.0	0.014391837465318177	0.0	0.0	0.0	0.0	0.0	0.03708550605005134	0.0	0.0	0.0	0.009686580789126686	0.0	0.0	0.0	0.018352177361344226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0055990322131700375	0.0	0.0	0.020427908613145106	0.0	0.0	0.0	0.0	0.012626143655362814	0.0
mourir	0.005845421086815328	0.004658774753150401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013870555904182806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005231052948895272	0.0	0.0	0.0	0.0	0.01695857041251778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
demander	0.00554565590287608	0.0	0.0	0.0037044037044037044	0.0	0.012297031877127277	0.0	0.0	0.0	0.0	0.0	0.005655317164179104	0.007275557510744137	0.009762419669013329	0.0	0.0	0.0	0.0	0.0	0.0	0.004416988416988417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010373964695055634	0.0	0.014780210821808077	0.0	0.0	0.0	0.0	0.0	0.0	0.006986558853778771	0.0	0.0	0.0	0.004758802880613759	0.0	0.0	0.0	0.0	0.0	0.005739162806088683	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vieux	0.005512348660216164	0.0	0.0	0.004044604044604045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004201892109500805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004285919746871854	0.0	0.005808464103452809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041272446418227455	0.0	0.0	0.0	0.0
vertueux	0.005495695038886206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008839633221188734	0.0	0.0	0.0	0.0	0.0	0.0
maison	0.005395773310906456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00787080223880597	0.0057527664038442014	0.0	0.0	0.0	0.006048357783625816	0.0	0.0	0.0	0.0	0.0	0.012113216598704726	0.009448849578211148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004098950093484826	0.0	0.01778393947723823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010497570663545766	0.0	0.0	0.0	0.0061158759454275685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jamais	0.005329158825586624	0.0	0.007501447725956613	0.003931203931203931	0.0	0.013150992424150004	0.012062121460140776	0.0	0.0	0.0	0.01355673166727988	0.0	0.0	0.0	0.0	0.0	0.004260021227409529	0.0	0.007300599278217396	0.0	0.0	0.0	0.0	0.0	0.004367672066589098	0.0	0.0	0.0	0.003881570103508536	0.0	0.018509197554477306	0.004501653962318423	0.006163981029699181	0.0	0.0	0.007322761524665584	0.02068653933037903	0.0	0.00517365401995684	0.004581303641846439	0.0	0.0	0.008050501826435436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004303653823507371	0.0	0.00658711118464593	0.005156452712360094	0.0	0.0	0.0	0.0	0.005220062376918655	0.0
connaître	0.005162622612287042	0.0	0.004543632233061606	0.0	0.0	0.0	0.0057292519233917176	0.005321852483032858	0.0	0.0	0.0	0.0	0.0	0.0	0.010452586206896552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009563309106283597	0.00870128002301165	0.005521614935695054	0.00828243955492345	0.0	0.007074652470102859	0.004517970950408059	0.0	0.0	0.0	0.0	0.005410717245625252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005168113041270221	0.016048974189278625	0.0	0.0031106412393770585	0.0	0.0	0.0	0.0	0.0
encore	0.005062700884307293	0.0047351481097594236	0.010396899639182146	0.0	0.0	0.023410718424808775	0.004992633818955639	0.0	0.0	0.005669624267273135	0.004301927376673365	0.0	0.0	0.005444868786331079	0.0	0.0	0.008868986173105163	0.006931316950220542	0.0	0.0	0.0	0.00747985776008194	0.0	0.007305811529544702	0.0	0.006938900828983728	0.0	0.01387888763158797	0.020348837209302327	0.006800272010880435	0.005529941546370305	0.0	0.004455560566922246	0.0	0.008862460695810934	0.01745269978095515	0.012150458045352738	0.0	0.006492428574063486	0.0	0.0	0.0036110913783713385	0.0	0.0	0.0041238518821464475	0.0	0.0060615930228350165	0.006578947368421052	0.0	0.0	0.0	0.0	0.0	0.0	0.002968324319928435	0.008713072021625797	0.007673134255412737	0.0035339389021229813	0.0	0.0
ainsi	0.0048295501856878776	0.0	0.0	0.0	0.0	0.0	0.006394254378785398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037489935587761676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005954264346325327	0.0	0.0	0.0	0.0	0.005229311057493583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tendresse	0.004762935700368045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008838510942438945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005053729120119162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
