	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
32	fort	long	honneur	mourir	fort	chant	quitter	cœur	raison	maison	jouer	approcher	corps	écouter	cellule	nouveau	maître|maîtresse	plaindre	dessein	personne	lire|liser	juge	chère	ton	encore	recevoir	cacher	descendre	vivre	malheur	langue	éternel	paix	bout	demander	faiblesse	décider	nom	rencontrer	paraître
33	mort	passer	vainqueur	bras	produire	taille	presque	quitter	mettre	embrasser	mauvais	serrer	tuer	laisser	personne	nature	quitter	naître	présenter	passer	hui	devenir	saint	agréable	état	conter	près	chemin	vieillard	perdre	placer	seul	nombre	bientôt	ici	plaindre	promettre	service	lieue	envoyer
34	tenir	inquiétude	recevoir	bonheur	manière	côté	chercher	égard	prouver	voilà	gens	arrêter	bas	question	messe	transport	table	porter	circonstance	peine	musique	prison	maître|maîtresse	fortune	tenir	croire	maison	œil	gens	mère	puis	culte	porter	milieu	voilà	aveu	assurer	dépense	attendre	autruche
35	persan	penser	valeur	promettre	système	regard	lieu	attendre	laisser	personne	entendre	répondre	nez	air	dévotion	beauté	ouvrir	soin	engager	jamais	lecteur	oser	nouveau	air	gens	vif	perdre	plaine	famille	instant	sucer	juste	sage	placer	espérer	pardonner	ordre	beaucoup	auberge	ministre
36	français	souvent	chef	vertueux	voir	éclat	commencer	bonté	sembler	regarder	amuser	bouche	enfant	nom	cérémonie	pur	prier	famille	propre	fort	poète	odieux	suite	honnête	élève	mari	malheureux	rayon	heureux	peine	donner	chose	monarque	nuit	dernier	perdre	engager	cent	chercher	air
37	régiment	inspirer	fil|fils	histoire	moral	placer	partir	sancerre	combien	aîné	passer	embrasser	porter	voix	beau	seul	moment	mort	motif	st	peindre	remords	foi|fois	naturel	penser	alors	ici	loin	cultiver	bras	volupté	terre	puissance	fenêtre	arriver	tendre	répondre	état	reconnaître	esprit
38	matelot	rappeler	corps	embrasser	ordre	encore	attendre	montrer	propre	tenir	fâcher	relever	main	ajouter	capucin	connaître	demain	abandonner	passer	laisser	bon	perfide	propos	qualité	mettre	secret	moment	marcher	travailler	moment	vieux	connaître	publique	château	heure	estimer	foi|fois	considérable	domestique	honneur
39	langue	désir	chevalier	petit	sensation	musique	tant	bonheur	ailleurs	demander	pourtant	foi|fois	bête	seul	autel	aimable	rentrer	faible	promettre	jour	peintre	supplice	galant	assez	montrer	maintenant	nuit	tour	donner	jamais	ainsi	propre	humanité	bas	penser	haïr	craindre	charger	nuit	monarque
40	docteur	tendre	milieu	paternel	agir	nouveau	près	clarice	inspirer	chère	foi|fois	cri	point	chercher	jésuite	volupté	paraître	infortune	lieu	monde	aujourd	indigne	manquer	maison	lieu	effet	livrer	ruisseau	toujours	mal	instant	pur	intérêt	jeter	idée	inspirer	bientôt	ruiner	aventure	alors
41	barque	instant	cri	temps	mal	agréable	sortir	attacher	plaindre	là	comment	porte	voilà	assez	cher	tant	journée	offrir	entrer	parent|parents	langue	vertu	tête	vanité	juger	dernier	partir	route	offrir	tombeau	doigt	philosophe	terre	ouvrer|ouvrir	bonheur	parler	parti	papier	champ	oiseau
42	pacha	moment	commander	raconter	nécessaire	jeu	mettre	milady	vrai	garçon	vrai	donner	rire	oser	demander	vif	encore	bienfait	croire	intérêt	personnage	condamner	abord	amuser	usage	songer	puis	sommet	riche	abandonner	main	divin	ancien	tirer	tant	assez	offrir	mauvais	pied	respect
43	servir	trait	inca	naissance	particulier	couvrir	apercevoir	pourquoi	tromper	chose	point	apercevoir	mieux	continuer	abbaye	moment	retirer	connaître	reconnaissance	chercher	composer	frémir	laisser	passer	commencer	extrême	penser	flot	promenade	nom	trou	univers	autorité	salle	foi|fois	reproche	désir	proposer	répondre	terre
44	tirer	souvenir	donner	respectable	faculté	jouer	dernier	créature	ignorer	cœur	laisser	sentir	hôte|hôtesse	ton	ingénu	vertu	malade	grand	faveur	donner	nom	œil	près	défaut	élever	répondre	découvrir	étendre	vie	horreur	fouetter	morale	royaume	monter	mot	coupable	main	remettre	laisser	conseil
45	présenter	laisser	venger	moment	ainsi	chanson	porter	retour	fort	âge	propos	oser	foi|fois	apprendre	terre	instant	cabinet	combien	juger	sembler	temps	croire	ailleurs	œil	esprit	détail	confier	lumière	vieux	couler	vivre	philosophie	richesse	figure	quitter	cruel	oser	servir	marcher	ordre
46	fortune	émotion	lance	personne	sorte	ruban	apprendre	géminvile	cas	aimable	pourquoi	encore	fort	entrer	chose	charmant	ensuite	mourir	auprès	témoigner	ancien	rage	beaucoup	mœurs	objet	profond	chercher	traverser	séjour	déchirer	derrière	livre	rang	cri	sûr	adorer	peine	bourse	donner	temps
47	marchand	pensée	cheval	fortune	raison	apercevoir	suivre	presser	chercher	pleurer	donner	courir	mourir	main	évêque	sein	beaucoup	triste	conduire	société	mot	furieux	heureux	charme	manière	désirer	ailleurs	profond	bois	expirer	ami	faux	révolution	conduire	papier	honte	impossible	perdre	ici	mettre
48	soldat	nouveau	indien	puis	rapport	plaisir	ainsi	remplir	long	dieu	raison	rester	bout	sentir	pape	désirer	sommeil	humanité	beaucoup	avouer	titre	tomber	lors	cour	suivre	impossible	espoir	désert	doux	cri	tenir	prouver	empereur	corps	apprendre	confiance	suivre	place	côté	saintré
49	commandant	fixer	brigand	ciel	société	offrir	fin	oncle	plaire	présent	arriver	porter	beau	appeler	sœur	unir	fermer	service	déjà	vrai	savant	périr	moment	presque	goût	parole	événement	cabane	partie	funeste	duclos	suprême	ville	autour	heureux	avouer	imaginer	posséder	retourner	officier
