	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
mieux	0.007204058143995907	0.0	0.007632919336242502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030830549205790986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031985554910685496	0.003670730491977544	0.0	0.0034349532146091158	0.009128630705394191
toujours	0.00662858604373588	0.0	0.012697208073672996	0.005801234644441886	0.0	0.009049656647917457	0.0	0.0	0.004578253894820325	0.0	0.0	0.0	0.0	0.0	0.0	0.00310469081783669	0.0	0.0	0.0	0.0	0.006480758384311684	0.003076216712580349	0.0073327458891791755	0.0	0.005029572441193733	0.0	0.004893480302506055	0.0	0.006407052301540419	0.0	0.0	0.0043767223212838385	0.0	0.0	0.0	0.0	0.006079128326080457	0.003068360211217354	0.0070630848173860545	0.006888475931064328
moins	0.006287565539878085	0.0	0.011580729432712095	0.0	0.0	0.0	0.0	0.0	0.008693875834389776	0.005319286508668627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004042187194391089	0.0	0.0037257581673825328	0.0	0.0	0.0	0.007277980947221093	0.0	0.0	0.0	0.0042486481574044626	0.010071631912685118	0.0	0.0	0.0	0.0	0.004134424268153837	0.006526084993873735	0.028468923363119954	0.0	0.006085119227286447	0.0
plaisir	0.006127712178694744	0.0	0.0	0.006846342565119966	0.0	0.004813830704993271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003912090382777809	0.0	0.0	0.0	0.013270640808711875	0.0	0.011151132891204313	0.0	0.0	0.0	0.007941607763663025	0.00917618733958707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010304859643827347	0.0
seul	0.006095741506458076	0.0	0.007742378026532787	0.0	0.0	0.0	0.0	0.0	0.004337925606378312	0.0037243626770580985	0.0	0.0	0.0	0.0055364632946166845	0.0	0.004616820024451451	0.0	0.0	0.007627998415221894	0.0	0.009322530261616556	0.0030532598714416897	0.004076037946831151	0.0	0.0	0.0	0.0	0.0	0.004490995289377622	0.0	0.0	0.005014994326471065	0.0	0.0	0.009658246656760773	0.0	0.0	0.0	0.0	0.0
encore	0.005935888145274734	0.0	0.005852391307520541	0.008511429760776568	0.0062738315185345336	0.0111977638979951	0.0	0.005361259165771385	0.0060382482471055465	0.0	0.0	0.0	0.0	0.0045154805197539115	0.0	0.003941187825751239	0.0	0.0	0.0	0.0	0.008481929801726755	0.0	0.0	0.0	0.009571538218429727	0.0	0.005157102136984496	0.0034524269198446408	0.006323745474924645	0.013601841669835463	0.0	0.0043564597179445615	0.0036882433668801464	0.0	0.007810540128519326	0.008022183530018701	0.018270604258711756	0.0	0.0	0.010732377873380343
chose	0.005466984952470267	0.0	0.0069469782104233865	0.0066957761697680395	0.0	0.00895476034369716	0.0	0.0	0.0	0.011621390946005363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003983580981808819	0.0	0.0	0.0	0.0	0.0	0.0	0.0033275295028051847	0.009783078098528386	0.0	0.0	0.013420563602576178
voir	0.005221876465322478	0.006090737466150705	0.011135597425531604	0.036073936956964585	0.014473839380478793	0.02125677214534663	0.0	0.006592054071532131	0.004818582183262336	0.005052029001750106	0.0	0.00578606326292639	0.0	0.015867335392841544	0.007621930709720821	0.0	0.013894665842279804	0.0	0.0	0.005249733064420453	0.010515640591782723	0.0	0.005441587954303028	0.00481257846595325	0.007738498352070071	0.009033832588714598	0.00472871665595703	0.004406386989801713	0.007588494569909574	0.01588851320103183	0.0	0.014761306532663316	0.0	0.0	0.007636865363462689	0.0	0.007324851343719895	0.0	0.003428916389978871	0.030949774711707356
imaginer	0.004976767978174688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
moyen	0.004635747474316893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005571798973906327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
offrir	0.004571806129843557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035787953795379536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pourtant	0.004518521676115776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004123921289107248
président	0.004411952768660216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
agir	0.004358668314932436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004086453492883191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jeune	0.004358668314932436	0.020390729777982796	0.004626453976269356	0.012346444418857998	0.0	0.0	0.004007617315180627	0.0	0.0	0.0	0.0040000615394082985	0.0	0.0	0.0	0.004372687521022536	0.0	0.006576358833117869	0.0	0.0	0.0	0.0	0.0	0.0	0.010671369641896335	0.0	0.0	0.007974560492972831	0.004201966974810911	0.0	0.0	0.0056473199712737485	0.011012724914897066	0.0	0.01060389561555238	0.0	0.0	0.0	0.0	0.010129791729550256	0.0
état	0.004337354533441323	0.0	0.004655642960346765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034308220126463484	0.0	0.005363036303630363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005509641873278237	0.0	0.0	0.017228768793173508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
placer	0.004316040751950211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006160418188971952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
permettre	0.004209471844494651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003571198764558265	0.0	0.0	0.006098386635706656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057778938434419275	0.0	0.0	0.0	0.0	0.0	0.004252067900209281	0.0	0.0	0.0
