	id	Ranked topics
43	Charriere_Caliste	[(0.1144619412446763, 27), (0.0854159347807515, 11), (0.0806295820427682, 7), (0.0641718950525716, 17), (0.0540706904473436, 28), (0.0540113877225458, 5), (0.0516666343000918, 21), (0.0511149578737715, 2), (0.0493732054565985, 16), (0.0449360190242378, 18)]
44	Charriere_Femmes	[(0.0679985058788618, 18), (0.0666158401294844, 7), (0.0650950802985361, 28), (0.0632448366381179, 27), (0.0614791995336436, 17), (0.0495981751868437, 8), (0.04434953082259, 22), (0.04279761056247, 25), (0.0409165532873678, 2), (0.0384549010758243, 11)]
45	Charriere_Lausanne	[(0.1233029275545651, 8), (0.0939098256914164, 28), (0.0803064912752807, 27), (0.068550652539877, 17), (0.0668463782187002, 18), (0.0559662341851183, 7), (0.0484402634303437, 5), (0.0442110009618673, 2), (0.0426374021889393, 16), (0.0423549728911439, 21)]
46	Charriere_Neuchateloises	[(0.1656223610039258, 27), (0.102706812360973, 8), (0.0834080721238618, 21), (0.0731887597202674, 17), (0.0684254188892959, 4), (0.0682106178916363, 7), (0.0507195680435473, 18), (0.048720056711437, 15), (0.0442053283081591, 28), (0.0370328800261335, 26)]
47	Charriere_Noble	[(0.1262665952348638, 17), (0.0883065968501491, 7), (0.0708307311003395, 5), (0.0646714369041796, 2), (0.0568240814665307, 28), (0.0504069625957342, 29), (0.0492667014700698, 22), (0.0460669299357261, 19), (0.0446844324385026, 10), (0.0360342858461904, 21)]
48	Charriere_Observations	[(0.1014194345209291, 6), (0.0933004702384415, 5), (0.0917333864528999, 18), (0.0773323359625791, 27), (0.0633186940815306, 15), (0.0521748700991017, 22), (0.0480025396613423, 11), (0.0470211116308627, 28), (0.0455391717352615, 7), (0.0416165872295548, 24)]
49	Charriere_Ruines	[(0.1039910916595591, 8), (0.0963328515318174, 16), (0.0677384331282149, 5), (0.0590280109797186, 11), (0.0577130530583417, 27), (0.0567177038465608, 22), (0.0491504606781693, 18), (0.0490823445721707, 15), (0.0480981395009687, 28), (0.0432409949607902, 2)]
50	Charriere_Sainte	[(0.1496804491433267, 8), (0.0886182582030309, 27), (0.0785123085377447, 17), (0.0570500139316363, 5), (0.0521672494034628, 22), (0.0518534678913938, 18), (0.0508853315697326, 21), (0.0468930074284104, 19), (0.0432339629748883, 28), (0.0430488140174372, 29)]
51	Chaussard_Diable	[(0.1234352320254449, 29), (0.1007244716514715, 20), (0.0933432120736914, 9), (0.0790308645706383, 6), (0.0624966285765564, 3), (0.0567586915831703, 4), (0.0541985542812654, 10), (0.0484149836713685, 14), (0.0417409979977735, 15), (0.0306212727628579, 18)]
52	Chevrier_Colporteur	[(0.1348307563906949, 29), (0.1054234949289851, 15), (0.084233103442585, 28), (0.05847920591299, 25), (0.0565217317701736, 13), (0.0508722610008186, 6), (0.0486960299339697, 17), (0.0476031901767194, 22), (0.045130351558028, 7), (0.0296004123500696, 0)]
53	Chevrier_Magakou	[(0.1409427971814641, 29), (0.1057493082234109, 28), (0.0696777790728899, 22), (0.06902337156004, 24), (0.0648633243235825, 4), (0.0513059636144249, 3), (0.046931136532925, 7), (0.0433623976156184, 17), (0.0432787277392006, 10), (0.0319810345842308, 11)]
54	Colombe_Plaisirs	[(0.179042420464554, 22), (0.0890033221412898, 28), (0.0886713719664147, 10), (0.0699592695063368, 29), (0.0559311133042274, 2), (0.0505441843677925, 11), (0.0420106297577916, 25), (0.0416563591098639, 27), (0.034593432620714, 4), (0.0296251342444233, 24)]
55	Constant_Laure	[(0.3678300592869197, 27), (0.0539951273442852, 11), (0.0529928058714971, 28), (0.0497969058151258, 22), (0.047550251117124, 2), (0.0442459081123009, 21), (0.0391701744471176, 7), (0.0352023715965101, 15), (0.0327723599244307, 17), (0.0276506545486006, 14)]
56	Constant_Mari	[(0.2756224092721429, 27), (0.0719029789211516, 28), (0.0717871032081912, 15), (0.0633663580793229, 11), (0.0527177227898772, 2), (0.0464658967480144, 22), (0.0433844037280031, 7), (0.0371890384040727, 6), (0.0324230337269986, 21), (0.0309705922208574, 10)]
57	Cottin_Claire	[(0.1514358732587332, 2), (0.1279982877609173, 17), (0.1185837542237333, 14), (0.083940559674305, 10), (0.0678248376939772, 11), (0.0400656962026756, 21), (0.0369821618805802, 28), (0.0356984508895196, 20), (0.0348751398956414, 27), (0.033277201078758, 18)]
58	Crebillon_Atheniennes	[(0.4388285450481068, 24), (0.1050082374037724, 2), (0.0732770463409423, 22), (0.0362968320673476, 11), (0.0361762474224041, 28), (0.033932788749572, 6), (0.0337903584109411, 10), (0.0245782135162121, 21), (0.0211755049661, 27), (0.0205614531049542, 16)]
59	Crebillon_Conte	[(0.412684296177734, 24), (0.0641074654679787, 17), (0.0547030576717383, 22), (0.0518248948539694, 10), (0.0429265665128493, 28), (0.040926237005512, 2), (0.0398400451403684, 11), (0.0281310040668744, 4), (0.0257810717935175, 12), (0.0226185855092485, 6)]
60	Crebillon_Nuit	[(0.4282272794939811, 24), (0.0722702325448651, 28), (0.0667221551141527, 2), (0.0617952451049565, 17), (0.0523259414513061, 22), (0.0439917635364516, 7), (0.0415569739268933, 10), (0.0381944266025912, 27), (0.0274327566975091, 11), (0.0202726332872726, 14)]
61	DamiensGomicourt_Dorval	[(0.1023635643360954, 28), (0.1018785576618248, 22), (0.0894767084681637, 2), (0.0864660888768365, 16), (0.0860547042841529, 10), (0.0528339347588184, 11), (0.0519433520058019, 0), (0.0492176075446889, 15), (0.0434901737550863, 14), (0.036072435904205, 5)]
62	Denon_Point	[(0.1281120709555495, 10), (0.0976171555861839, 7), (0.0742426308018412, 22), (0.0719969179678627, 28), (0.0716745864431445, 17), (0.0613904919478839, 4), (0.0584518384227084, 26), (0.0479478660689467, 2), (0.0417501269676931, 24), (0.0409390159773738, 25)]
63	Diderot_Jacques	[(0.2180492858845973, 26), (0.0845783279889507, 7), (0.0642689312378969, 17), (0.0522627083332824, 28), (0.0504203195422757, 25), (0.0474939780337446, 19), (0.0391347184280583, 15), (0.0345468007049703, 22), (0.0327036355515889, 8), (0.0304306747323345, 2)]
64	Diderot_Neveu	[(0.1238503078680488, 26), (0.089744003688318, 25), (0.0794254686939216, 29), (0.0680353403598143, 28), (0.0618638473326785, 4), (0.0594990333706782, 18), (0.0551408062508821, 20), (0.0469482598963818, 17), (0.0398805992447185, 9), (0.0383050922016032, 7)]
65	Diderot_Oiseau	[(0.2145566252657153, 24), (0.0788128454405493, 28), (0.071266929964614, 4), (0.0712358544303084, 17), (0.0574630401920416, 7), (0.0475411170482199, 22), (0.0403496518774935, 25), (0.0350787459658108, 12), (0.0308291427190491, 26), (0.0299420060593242, 5)]
66	Diderot_Pensees	[(0.2895455225704211, 20), (0.1162049554106084, 23), (0.0766658509758776, 22), (0.062504707103145, 24), (0.0583438139569546, 6), (0.0424497605518391, 28), (0.0351007769270874, 2), (0.034954611013849, 17), (0.0332063978391722, 9), (0.0313627132293485, 29)]
67	Diderot_Religieuse	[(0.1267342183370728, 7), (0.1124594970552131, 23), (0.0955776596582892, 17), (0.0697500396568673, 22), (0.0593348642867159, 11), (0.0539304232641575, 14), (0.0526018394155592, 9), (0.0403663725128615, 8), (0.038518596076306, 27), (0.0345568126993808, 18)]
68	Diderot_Supplement	[(0.1466220566104989, 20), (0.1021270364849902, 5), (0.0765073065108785, 18), (0.0721448433491403, 6), (0.067220662971036, 28), (0.0624092147750685, 0), (0.0577612339934513, 3), (0.0489175536756967, 17), (0.0349139218440062, 2), (0.0313778754771078, 26)]
69	Doppet_Memoires	[(0.0922112023258007, 11), (0.0714722865437599, 15), (0.0657907956874213, 14), (0.0655487481238845, 22), (0.0645707845705913, 18), (0.0609402148835806, 2), (0.0494075171464387, 10), (0.0491689543208145, 28), (0.0466967438349482, 29), (0.041705643759775, 20)]
70	Dorat_Malheurs	[(0.2189801163404844, 2), (0.1149742766299923, 14), (0.0971436782380164, 28), (0.0861119787150176, 10), (0.059060007065917, 11), (0.0532536289673788, 21), (0.0377441957337608, 13), (0.0339807309829601, 0), (0.0275850679229866, 17), (0.0263721751096803, 22)]
