	id	Ranked topics
39	CastilhonJ_Robert	[(0.1361281772965414, 0), (0.0793532905636577, 11), (0.0784709498659747, 1), (0.0686135751321005, 21), (0.0651236452331312, 9), (0.0563291935345117, 12), (0.05279318655038, 5), (0.0489132916426549, 6), (0.0464897695570606, 17), (0.0462351951121243, 20)]
40	Cazotte_Diable	[(0.147852747591431, 9), (0.1020583288621621, 1), (0.0873159900085331, 11), (0.0700741004414214, 4), (0.0645163041838923, 15), (0.063087982656708, 13), (0.051403350118132, 6), (0.0502161796733539, 21), (0.0456820216816182, 5), (0.0444470757112313, 23)]
41	Cazotte_Honneur	[(0.1238459814361501, 11), (0.1148499233148557, 9), (0.0980064352381175, 0), (0.0798819692956555, 4), (0.0624429706783207, 21), (0.0613427095210785, 13), (0.0504634778004977, 6), (0.0476263468389937, 5), (0.0395953286854158, 3), (0.0379802393655754, 1)]
42	Cazotte_Ollivier	[(0.1016854714792782, 5), (0.0912855176741499, 9), (0.082929460007083, 21), (0.0776818193491972, 11), (0.069841529609942, 0), (0.057552121176852, 1), (0.0564451760270239, 15), (0.0522554764691691, 22), (0.0518568624819192, 20), (0.0492075634524241, 14)]
43	Charriere_Caliste	[(0.1953338750596109, 18), (0.0786691291970295, 6), (0.0764315492289101, 17), (0.0751665613375749, 9), (0.0743305000419419, 2), (0.0730677091240349, 20), (0.0628653936725362, 11), (0.0501951888701487, 4), (0.0468858447334787, 24), (0.0442060779163824, 13)]
44	Charriere_Femmes	[(0.130226474110918, 20), (0.0686963017436983, 24), (0.0677721376798567, 18), (0.0674108735933895, 9), (0.0665065013316919, 11), (0.0636310673583933, 4), (0.0568047893290917, 17), (0.0540371631131287, 15), (0.047116840472214, 6), (0.0459381600201577, 2)]
45	Charriere_Lausanne	[(0.1524883859429066, 18), (0.1004674623252498, 20), (0.0901433017186892, 2), (0.0866142393926625, 4), (0.0714664537786111, 9), (0.070942292041057, 17), (0.0546821637644397, 24), (0.0540292736026649, 6), (0.0458343065684839, 11), (0.0410615084631264, 13)]
46	Charriere_Neuchateloises	[(0.1695994712368655, 20), (0.1432590515489622, 2), (0.1297568177620304, 18), (0.0683523063518223, 9), (0.0655735873175587, 15), (0.0650397547116151, 4), (0.0481398770048505, 24), (0.047686985514879, 17), (0.0472645456138581, 22), (0.0349286330980099, 1)]
47	Charriere_Noble	[(0.142551845767097, 9), (0.1033393305488641, 6), (0.0944532446031384, 17), (0.0924495093635398, 20), (0.0648501470376705, 4), (0.0585918037204401, 15), (0.0537345231592264, 24), (0.0435715552205942, 2), (0.0388362112259826, 11), (0.0364234540414403, 13)]
48	Charriere_Observations	[(0.1716217916277591, 24), (0.1254956299947543, 17), (0.0905330943945681, 18), (0.0897948484479219, 0), (0.0830525429638136, 11), (0.0732611860126898, 9), (0.0500364973894113, 20), (0.0463254852316513, 4), (0.0462576373593069, 15), (0.0365973059534374, 13)]
49	Charriere_Ruines	[(0.128404858692169, 17), (0.0897666935492438, 20), (0.0807903012617588, 2), (0.0761148234450109, 11), (0.0686837070563776, 18), (0.0669242549211213, 24), (0.0482278137970999, 4), (0.0482116447724214, 6), (0.0477690999823137, 19), (0.0415705727772078, 22)]
50	Charriere_Sainte	[(0.1515327119732678, 2), (0.1323195389396694, 20), (0.0932010173481126, 17), (0.0775525923601292, 18), (0.0735724361807983, 9), (0.0570098946928048, 11), (0.0558724234937312, 4), (0.0492564233164676, 16), (0.0489611587929109, 15), (0.0427790288830569, 13)]
51	Chaussard_Diable	[(0.1446085649146494, 16), (0.1239293293287733, 23), (0.089750507188067, 5), (0.0855072574802381, 24), (0.072941083998657, 14), (0.0655976919027821, 21), (0.0612726104159118, 9), (0.0401375849096192, 13), (0.0389841974149759, 15), (0.0331667836298808, 22)]
52	Chevrier_Colporteur	[(0.1474939976106232, 16), (0.0859116309591813, 3), (0.0782076089785679, 24), (0.0720807748319672, 22), (0.0697235320570579, 4), (0.0636155789876988, 20), (0.0573888468616064, 11), (0.044131626142017, 15), (0.0419942725807229, 12), (0.039843136144341, 0)]
53	Chevrier_Magakou	[(0.1550747712290361, 16), (0.1109390665156429, 4), (0.0806564210993274, 20), (0.0735145694750696, 9), (0.0723483512669707, 1), (0.0606765557348867, 5), (0.0583892856183689, 11), (0.0470638040067396, 19), (0.0406743574889519, 14), (0.036925566853737, 0)]
54	Constant_Laure	[(0.3665462588164371, 18), (0.0644099428772814, 4), (0.0610151818343504, 13), (0.0571376714396972, 11), (0.0505231029196061, 9), (0.0504272075774292, 2), (0.0471530439378108, 6), (0.0437113534711648, 20), (0.0393452673874083, 24), (0.0273775401432097, 21)]
55	Constant_Mari	[(0.2652136620294087, 18), (0.1015782767542869, 24), (0.0733061409480818, 13), (0.0718249439480294, 4), (0.0681121943106798, 6), (0.0499635344609765, 11), (0.0454572302203564, 1), (0.0437225992053331, 2), (0.0400864635071691, 20), (0.0350523445500909, 9)]
56	Cottin_Claire	[(0.2421615415158816, 6), (0.1149453955358557, 9), (0.1098135902055605, 21), (0.0819511415478862, 13), (0.0477795734964875, 18), (0.0462415574552477, 4), (0.0414583068447662, 2), (0.0390890934743286, 20), (0.0380577345138776, 11), (0.0371939468481715, 23)]
57	Crebillon_Atheniennes	[(0.5623684657387563, 7), (0.0629075262758426, 11), (0.0548860008787953, 6), (0.0415151857883624, 13), (0.0337497076444986, 20), (0.0288725283484563, 4), (0.0237021080449349, 24), (0.0226209992670004, 9), (0.0224436013711462, 23), (0.0203259183003191, 0)]
58	Crebillon_Conte	[(0.2573668690642827, 20), (0.1874071755901405, 7), (0.0795170848656846, 11), (0.06557754994793, 13), (0.0643763508535294, 0), (0.0535204724701002, 9), (0.0530337106883713, 4), (0.0474306143823985, 6), (0.0257456836974292, 14), (0.0212310053642644, 21)]
59	Crebillon_Nuit	[(0.3308663507515344, 7), (0.1988534473814895, 20), (0.0714383989875355, 11), (0.0601210180509283, 6), (0.0595376934552424, 4), (0.0573366999665647, 9), (0.0410764546559922, 13), (0.0402407694207053, 18), (0.0185913115578879, 21), (0.017053695894207, 15)]
60	Denon_Point	[(0.1489001830711262, 9), (0.1129306188624326, 20), (0.0907652194426965, 14), (0.0857882344806831, 4), (0.0827848470564422, 11), (0.0564370097058195, 13), (0.0509052109697763, 18), (0.0428749731595721, 3), (0.0420689603224808, 6), (0.0392518672047252, 5)]
61	Diderot_Ceci	[(0.0999933528097042, 20), (0.0929407627419877, 15), (0.086050293227163, 16), (0.0817422822588782, 18), (0.0713562829041672, 9), (0.067768638146405, 1), (0.0668750621935051, 24), (0.062573516810049, 4), (0.0588196023626372, 6), (0.0567118322961467, 21)]
