	0	1	2	3	4	5	6	7	8	9
armer	0.0021194770957921267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
donner	0.002111987777432437	0.008224567023995611	0.0058307563646264856	0.004514267105366588	0.005270849262759753	0.0	0.010616093818039851	0.004183929711612802	0.0	0.006925061344932829
croire	0.0	0.014551157042453775	0.0	0.0	0.0	0.0	0.0	0.0	0.0046010706305288475	0.011960856197581289
moins	0.0	0.012577462869142226	0.0	0.00266701103861832	0.004359195935338216	0.0	0.0	0.0	0.0034629198497841524	0.0
point	0.0	0.010331186891843916	0.0	0.0028017652805695614	0.009799707728015129	0.00636490831345209	0.0	0.0	0.014271174033449265	0.005166244205687142
femme	0.0	0.010208356819677042	0.004823307466402162	0.011501836026546586	0.0	0.0	0.00659939636920582	0.0	0.0	0.007635785406315998
encore	0.0	0.007696229453305223	0.0043954334169632615	0.003666438333090027	0.0	0.005784295963871069	0.0	0.0046979961608212	0.007188232757684189	0.00819806710044825
paraître	0.0	0.007581812399779915	0.0	0.005246993295976463	0.0	0.0	0.0	0.006209596315041136	0.0	0.0
assez	0.0	0.006706858461056978	0.0	0.0031386508854476646	0.0	0.0	0.0	0.0	0.0	0.0
mettre	0.0	0.005948004179587661	0.010537370908454403	0.0	0.0	0.0	0.0031633056544088573	0.005497655081812044	0.0	0.0
laisser	0.0	0.005749456939646687	0.0	0.0	0.0	0.0038918489447479685	0.0	0.004287966969190692	0.003344258020954676	0.0
répondre	0.0	0.004691099194537595	0.0	0.0	0.0	0.0	0.0	0.006436030346240073	0.0	0.005305690065831941
cependant	0.0	0.0046439862901448215	0.0	0.0	0.0	0.0	0.0	0.004063572884218772	0.0	0.0
jamais	0.0	0.004526204029162888	0.0	0.0	0.0047188804987625945	0.0032086471950530083	0.0	0.0	0.008697410665191472	0.007296167263060117
fort	0.0	0.004462265087486981	0.004399323181049069	0.0027989579005289105	0.0	0.0	0.0	0.0	0.0	0.005105517782720859
autant	0.0	0.004403373956996014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
homme	0.0	0.004282226488557453	0.0060991500865472505	0.003214450146545238	0.024571658666135813	0.005611858461551894	0.012422982016206936	0.0	0.0	0.0
connaître	0.0	0.004216604943153233	0.0	0.0	0.003004157863066503	0.0	0.005335575676582029	0.0	0.004734774099632483	0.0
seul	0.0	0.004196413698413473	0.0	0.0	0.0037076918204563243	0.004236723949386319	0.0	0.0	0.008323040951701293	0.0
penser	0.0	0.003947388346623099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065539554268055425
effet	0.0	0.003915418875785145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
moyen	0.0	0.003811097444629718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
demander	0.0	0.0037959540110748978	0.0	0.0	0.0	0.0	0.005042769694330576	0.004553159978702962	0.0	0.0050470404865311045
tant	0.0	0.0037942714073465845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
raison	0.0	0.0037538889178670644	0.0	0.0	0.005687088002823184	0.0	0.0	0.0	0.0	0.0
beaucoup	0.0	0.0036865847687345306	0.0	0.003983672277683575	0.0	0.0	0.0	0.0	0.0	0.006196344269337429
toujours	0.0	0.0036562979016248904	0.0	0.0	0.005601125654331823	0.0	0.0	0.0	0.006915811939385532	0.006612432722995297
craindre	0.0	0.0036192806196019968	0.0	0.0	0.0	0.0	0.0	0.0	0.0031904990314854955	0.0
personne	0.0	0.0034897201325218698	0.0	0.0029196752422768974	0.0	0.0	0.004189377899905401	0.0	0.0	0.004833373442760848
part	0.0	0.0034291463983025894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chose	0.0	0.003398859531192949	0.002983449053814886	0.0	0.00553326064236496	0.0	0.0	0.0	0.0	0.00785844895719237
honneur	0.0	0.0033382857969736688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mieux	0.0	0.0033349205895170423	0.0027734017931812438	0.0	0.002572083953544137	0.0	0.0	0.0	0.0	0.004633201159649766
permettre	0.0	0.0033079989298640286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
assurer	0.0	0.0032810772702110153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
état	0.0	0.0031683428204140216	0.0	0.0	0.0036533998108828334	0.0	0.0	0.0	0.0	0.0
juger	0.0	0.003037099729605581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
avouer	0.0	0.003033734522148954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
doute	0.0	0.0030253215035073873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
conduite	0.0	0.0030152258811375074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tromper	0.0	0.002993352032669434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
douter	0.0	0.0029815738065712407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
attendre	0.0	0.0029748433916579873	0.0	0.0	0.0	0.0	0.0	0.004691876322140148	0.0	0.0
devenir	0.0	0.0029226826760802736	0.0	0.0	0.0032756179109339582	0.0	0.0	0.0	0.0	0.0
parti	0.0	0.00291595226116702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
intérêt	0.0	0.0028806175828724402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ailleurs	0.0	0.0028536959232194265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
propre	0.0	0.0028032178113700265	0.0	0.0	0.0029928470277386927	0.0	0.0	0.0	0.0	0.0
petit	0.0	0.0	0.012120504891378338	0.007459208768009343	0.0	0.0	0.005360601828911212	0.0	0.0	0.0052449636428656575
là	0.0	0.0	0.010163953556216816	0.0	0.0026625706361666224	0.0	0.0033209704140827164	0.0037086222407177348	0.0	0.006805857625776793
saint	0.0	0.0	0.00784954392516094	0.0	0.0	0.0	0.0053555965984453755	0.0	0.0	0.0
bon	0.0	0.0	0.00774063053075831	0.00530314089678948	0.0041035710569296965	0.0	0.011126627325555204	0.0	0.0	0.009106714318165973
maître	0.0	0.0	0.006721512340276562	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fille	0.0	0.0	0.006643717058560398	0.0	0.0	0.0	0.02292395553353254	0.0	0.0	0.0
manger	0.0	0.0	0.004943890153062217	0.0	0.0	0.0	0.0	0.0	0.0	0.0
coup	0.0	0.0	0.004714394071999533	0.0	0.0	0.004247637715355887	0.0	0.003835098906792817	0.0	0.0
foutre	0.0	0.0	0.004208724740844468	0.0	0.0	0.0	0.0	0.0	0.0	0.0
foi|fois	0.0	0.0	0.004080362526012797	0.0	0.0	0.0	0.0	0.0	0.0036985722140793096	0.004316074284159175
voilà	0.0	0.0	0.003998677480210825	0.0	0.0	0.0	0.003693860083787558	0.0	0.0	0.0059984211130028765
gros	0.0	0.0	0.003920882198494661	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tenir	0.0	0.0	0.00381585856817784	0.0	0.0	0.0	0.0	0.0	0.0	0.0
main	0.0	0.0	0.003718614466032635	0.0	0.0	0.007462833169990636	0.0	0.008349499907182447	0.0	0.0
diable	0.0	0.0	0.0036058113075441976	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cul	0.0	0.0	0.003516346733570609	0.0	0.0	0.0	0.0	0.0	0.0	0.0
plaisir	0.0	0.0	0.0034502207441118697	0.010025154125164231	0.0	0.0	0.0	0.0	0.007448954522436278	0.0
servir	0.0	0.0	0.003360756170138281	0.0	0.002569821786478575	0.0	0.0	0.0	0.0	0.0
vin	0.0	0.0	0.003302409708851158	0.0	0.0	0.0	0.0	0.0	0.0	0.0
joli	0.0	0.0	0.0032440632475640354	0.004629369687033273	0.0	0.0	0.0	0.0	0.0	0.0
bouche	0.0	0.0	0.0031662679658478713	0.0	0.0	0.0	0.0	0.0	0.0	0.0
