	id	author	decade	gender	narration	0	1	2	3	4	5	6	7	8	9
13	Arnaud_Fanny	Arnaud	1770s	M	autodiegetic	0.01261160633992292	0.08224667659526269	0.010515362618752367	0.04919894979038658	0.05314933472149135	0.3188889908826591	0.16298515505331393	0.04934069699704493	0.1941567723475493	0.06690645465361635
14	Arnaud_Julie	Arnaud	1770s	M	heterodiegetic	0.011577935939822447	0.10787962874791011	0.009920465855724469	0.09053042317746601	0.11651769746268055	0.2642490800891748	0.11481506390540584	0.03634029686601991	0.20312784427764416	0.04504156367815126
15	Arnaud_Lucie	Arnaud	1770s	M	heterodiegetic	0.004217749029607946	0.053806166214423294	0.003239729580021423	0.023967506875432705	0.028247720320793725	0.33426167964155407	0.06544063426636895	0.030937229539924147	0.33920255628014845	0.11667902825172473
16	Arnaud_Matinees	Arnaud	1790s	M	heterodiegetic	0.007065187324407199	0.17489217415622219	0.006053530397352504	0.03681795165959812	0.052631831147343086	0.15463084863793744	0.10192366040541186	0.04346322658969033	0.35731831084726184	0.0652032788347749
17	Arnaud_Nancy	Arnaud	1770s	M	heterodiegetic	0.024731784811236283	0.16614958512074993	0.00882629950071155	0.052621723234215115	0.052814542688596144	0.24616254588833955	0.1293067371341341	0.07147172975344517	0.1929022521361271	0.05501279973244447
18	Arnaud_Sargines	Arnaud	1770s	M	heterodiegetic	0.14395434668003323	0.0949970475915733	0.03919659667669537	0.10158317082293174	0.052368659276093556	0.09627245075180596	0.1038610431500842	0.07908246769098025	0.24672148014754064	0.04196273721226129
19	Arnaud_Selicourt	Arnaud	1770s	M	heterodiegetic	0.009950988175301932	0.10508992670684669	0.008687269420581543	0.032519798270066395	0.06470164360474745	0.19194607272420497	0.021092335815644105	0.052004311479051976	0.3917934386107317	0.12221421519282281
20	Arnaud_Sidney	Arnaud	1770s	M	autodiegetic	0.04451077508558331	0.06005093607230884	0.006133426952230823	0.03974492572561335	0.11714861525883026	0.2702631958620192	0.12320290102348709	0.04896854961067045	0.25743648381444734	0.03254019059480889
21	Arnaud_Zenothemis	Arnaud	1770s	M	heterodiegetic	0.041031735877734996	0.09549387495465715	0.005026491036901473	0.04068234570535122	0.13388195696935162	0.3207024533982049	0.07050289628790984	0.032681416813690106	0.23930334310753024	0.020693485848667953
22	BarbeMarbois_Parisienne	BarbeMarbois	1760s	M	heterodiegetic	0.03525783305478744	0.17414142703120442	0.018988891540635468	0.26312761726021755	0.0733089932076708	0.049173795330360086	0.0447189108923408	0.08628460136339884	0.14105696021974476	0.1139409700996395
23	Barthe_Femme	Barthe	1760s	M	heterodiegetic	0.03421896704873003	0.12198815141150607	0.03835690552971751	0.26290921149779695	0.11305515485968771	0.08320959691500329	0.04017156320047985	0.06714395682432557	0.145627099622293	0.09331939309045949
24	Bastide_Maison	Bastide	1770s	M	heterodiegetic	0.04089765672092668	0.128948447624404	0.01792001238008863	0.27402134127060856	0.04266889334975982	0.051185991281829324	0.01907605904196367	0.1984697351133003	0.17828866816962158	0.048523195047496956
25	Beauharnais_Lettres	Beauharnais	1770s	F	epistolary	0.017078781363407167	0.15350769224905036	0.00477221393861924	0.019551112606281312	0.03030856519143854	0.23459391633020363	0.04989141592348258	0.038654230456575005	0.37902273966431327	0.07261933227662873
26	Beaumont_Belle	Beaumont	1700s	F	heterodiegetic	0.026967198821554465	0.06490680594831262	0.1097089934480202	0.08482907376806849	0.018288920192127297	0.1217343321743085	0.15593871251608885	0.16453723115203725	0.09550979093748341	0.15757894104199846
27	Beaumont_Clarice	Beaumont	1760s	F	epistolary	0.026006187215301606	0.1844770744376796	0.052364500202881324	0.04236563695036821	0.10836526072240998	0.07845603441783952	0.2129256517039656	0.10233810429521424	0.09149496905004431	0.1012065810042949
28	Beaumont_Prince	Beaumont	1700s	F	heterodiegetic	0.15148801237676385	0.1266809929453585	0.07146095198694964	0.07655780830514294	0.0668819198592491	0.15003437339797404	0.09161058500738399	0.12056761467219848	0.09163618671112002	0.05308155473785906
29	Beckford_Vathek	Beckford	1780s	M	heterodiegetic	0.26766835855936677	0.05837496313397678	0.11362992064764228	0.10752173961565158	0.030811502323273926	0.09999777105047174	0.030781883322136303	0.2013146381059215	0.050153205862592753	0.03974601737896578
30	Bellin_Nuit	Bellin	1790s	M	heterodiegetic	0.07989444407461864	0.05436700754347719	0.09589303745533255	0.12244289497869927	0.0481860484565991	0.08987571191768892	0.03563591480854064	0.3736635250744048	0.03813104622988599	0.06191036946075234
31	Benoist_Elisabeth	Benoist	1760s	F	epistolary	0.008332873887514764	0.21501309510987998	0.011741890323066854	0.049881707882439376	0.07138306933847524	0.08918321966876439	0.06758929571128136	0.040510564499175984	0.2788922259033184	0.16747205767608309
32	Benouville_Pensees	Benouville	1750s	F	epistolary	0.022840648971138286	0.24053772822406422	0.01875392616460276	0.051542034990279914	0.25470828069652957	0.062042464739465154	0.05224322071631543	0.040005615603757844	0.12763594346900864	0.12969013642483776
