	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
occuper	0.004726922643260449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jouer	0.004683556380478243	0.003772298602431542	0.0	0.0	0.0032820178063065514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
manière	0.004553457592131625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003449209301513286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
caractère	0.004484071571680096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003737766955658607
penser	0.004406012298672125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007650926479378362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gens	0.004362646035889919	0.004749460288603568	0.0	0.0	0.0	0.0	0.0038906377108902488	0.0	0.0	0.0	0.0	0.0	0.0	0.00416524768815655	0.004599987567601169	0.0	0.0	0.006247962620884494	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grâce	0.0043366262782205955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cependant	0.004241220500099742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005782887118601504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051910457182034846	0.0	0.0053784127408993574	0.00605999394000606	0.0
agréable	0.004180507732204654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
connaître	0.00407642870152736	0.0	0.0	0.0039445647771497	0.0	0.0	0.0	0.0	0.0	0.0	0.005231803786430794	0.0	0.0	0.006618988988726761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005763182548179872	0.0	0.0
ailleurs	0.004041735691301595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041914958085041915	0.0
bon	0.004024389186188713	0.0045903874559709125	0.0	0.0	0.00582059511505195	0.0	0.0	0.0	0.014955799540692736	0.0	0.0	0.0	0.0	0.006453077655236249	0.0	0.0	0.0	0.009915245028794957	0.015449420646725748	0.0	0.0	0.0	0.0	0.011059488940511059	0.0
maison	0.003911636902954977	0.0	0.0	0.0	0.0	0.0	0.003501573939801224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011303122604173143	0.0	0.0	0.0	0.008124695323925353	0.0	0.007966133051834278	0.0	0.0	0.0	0.0
