	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
22	criminel	passer	courir	embrasser	côté	sire	craindre	établir	lieu	bander	lors	art	cour	coup	ami	bras	place	plaindre	fleur	éternel	jamais	faim	joli	âge	là	monde	voilà	puis	recevoir	gros	donner	moment	histoire	service	occuper	servir	sortir	descendre	silence	manière	mettre	nouveau	rester	voir	moment	penser	ici	danger	combien	nom	connaître	idée	tombeau	prêtre	nourrir	monde	apprendre	chemin	encore	chose	désirer	laisser	son	seul	demander	sentir	conseil	laisser	assez	porter
23	dieu	table	là	mettre	artiste	grand	œil	république	dernier	cuisse	lecteur	devenir	répliquer	attaquer	montrer	charmant	capitaine	désespoir	mettre	grand	cependant	mets	attendre	parler	vent	personne	grand	joli	promettre	haut	univers	croire	comment	demander	souvenir	tant	sot	là	oser	désirer	partir	habit	lieu	juif	mouvement	écrier	maître|maîtresse	nécessaire	aimable	parent	ancien	temps	œil	père	petit	humain	seul	jeune	rétablir	état	grand	femme	instrument	jamais	dernier	souvent	couronne	fermer	joli	personne
24	oser	saint	marcher	asseoir	ressembler	sargines	rival	moyen	sujet	voir	bientôt	commencer	esprit	milieu	heureux	main	garnison	courage	figure	bon	nom	cuisine	amant	jamais	mortel	mettre	beau	tant	retour	sang	rapport	consentir	haut	honnête	rappeler	service	ci	lumière	écouter	baron	passer	dame	parler	vivre	arrêter	ainsi	vue	succès	âme	cousin	français	esprit	malheur	cellule	richesse	faiblesse	découvrir	ruisseau	danger	pourtant	sentiment	malheureux	musicien	bon	encore	idée	régner	attendre	moins	naître
25	malheur	monde	pied	parole	lieu	euriant	heureux	opinion	juger	téton	faveur	jamais	émir	valeur	cacher	jouir	passer	espérance	rouge	erreur	bout	liqueur	beaucoup	respectable	montagne	mariage	répondre	mieux	grand	puis	ordre	rester	taire	offrir	tant	noblesse	passer	salle	jamais	chose	flot	comment	comment	donner	reconnaître	jour	réziers	occasion	connaître	homme	art	là	bras	capucin	luxe	vertueux	preuve	cabane	tomber	jouir	laisser	transport	italien	secret	mère	seul	paix	endormir	ton	appeler
26	juge	prier	rencontrer	demander	peinture	jour	sentir	espèce	apprendre	garçon	surtout	travail	encore	brave	éloigner	sembler	mettre	chagrin	ruban	peuple	vif	bouteille	permettre	dieu	rayon	tant	pourquoi	maman	moment	donner	voir	tenir	ami	gens	paraître	droit	tirer	monter	personne	jeune	route	malheureux	peine	cave	bientôt	personne	parent	bientôt	sentir	main	poète	sentiment	héler	messe	voisin	sagesse	mystère	fruit	temps	agir	effet	attacher	comédien	penser	prier	reconnaissance	porter	lendemain	devenir	sœur
27	horrible	donner	auberge	sortir	offrir	air	foi|fois	politique	partie	sucer	doute	instruire	là	indien	aimable	transport	commandant	vie	visage	dogme	lorsqu	déjeuner	interrompre	mourir	lieu	fort	mauvais	parler	retourner	mourir	terre	parole	vrai	accepter	bientôt	qualité	ton	jardin	chercher	détail	matelot	croire	montrer	ville	effroi	roi	pension	déjà	désirer	consentir	public	femme	âme	dévotion	heureux	objet	coupable	asseoir	souffrir	impossible	douter	doute	chant	chaumière	hier	bonheur	maître	éveiller	beauté	grand
28	commettre	nièce	passer	visage	partie	phénix	tromper	naturel	commencer	langue	bout	nature	écrier	armée	engager	regard	schah	laisser	placer	seul	ensuite	remplir	finir	heureux	profond	beaucoup	pourtant	grand	paraître	tuer	petit	liberté	point	cent	quelquefois	âme	arriver	voix	sourire	moins	apercevoir	conduire	vrai	monseigneur	pousser	passer	voilà	assez	voilà	grand	philosophe	vie	laisser	jeune	fruit	toujours	donner	couvrir	accident	nature	toujours	fortune	danseur	pauvre	attendre	attachement	ambition	rester	quelquefois	tendre
29	périr	conversation	entrer	rester	différent	amant	donner	force	encore	gros	monseigneur	suivre	continuer	camp	sentir	sein	fil|fils	accabler	gorge	sage	profond	espèce	maintenant	vertueux	cieux	veuf|veuve	tant	plaisir	affaire	jour	humain	obliger	laisser	charger	assez	mépris	gros	espèce	peine	seul	là	champ	juger	pendre	fureur	alors	milady	cependant	lettrer	sœur	savant	vrai	épouse	habit	besoin	jamais	paraître	milieu	sang	près	idée	sorte	opérer	docteur	lire|liser	confiance	majesté	réveiller	humeur	naissance
30	infâme	recevoir	coup	entendre	dessin	maître	oublier	devenir	propre	ange	suite	talent	palais	inca	penser	goûter	jour	craindre	jambe	livre	offrir	heure	reprendre	larme	pied	grand	tort	mettre	moi|mois	fer	comment	ordonner	temps	bourse	plaisir	honorer	jeter	nuit	attention	heure	arriver	monde	ôter	cent	alors	eunuque	retourner	besoin	toujours	frère	titre	jamais	nom	entrer	jouir	propre	demander	prairie	douleur	moyen	sembler	amitié	bal	revenir	arriver	personne	sang	retirer	amour	demander
31	prison	vieux	donner	cœur	remplir	tournoi	vertu	humain	suivre	duclos	ailleurs	connaissance	maître	bataille	jenny	aimer	recevoir	rester	côté	autorité	instant	lait	cependant	digne	ombre	jour	gens	comment	point	ainsi	faculté	faveur	petit	moi|mois	perdre	ambition	commissaire	frapper	penser	charmant	rivière	apprendre	bon	jésuite	croire	vivre	absolument	alors	donner	devenir	goût	occuper	expirer	religion	commerce	besoin	ajouter	loin	mettre	malheureux	permettre	moindre	oreille	près	voici	soin	zèle	encore	agrément	nom
32	innocent	connaître	nuit	presser	imagination	paraître	instant	vertu	tirer	donner	point	goût	schah	homme	comment	grâce	kan	consolation	charmant	juste	histoire	excellent	songer	aîné	environner	encore	demander	entendre	demain	alors	étendre	honneur	gens	état	chercher	moins	payer	paraître	instant	fille	lieue	bientôt	gens	sage	sembler	recevoir	salvini	assurer	moment	jour	volume	parent|parents	terre	autel	champ	dangereux	cependant	pied	moment	bientôt	égard	cher	applaudir	toujours	heure	flatter	nouveau	cabinet	jouer	nourrice
33	mourir	entrer	domestique	peine	nature	château	tendre	crime	dessein	vieux	heure	idée	paraître	tête	plaindre	baiser	gouverneur	perdre	bleu	opinion	délier	garçon	répéter	ainsi	descendre	ville	tête	répondre	nuit	bas	différent	espérer	tant	rester	sentir	donner	jeu	bruit	lever	monde	fleuve	amant	monde	âme	déjà	ajouter	causer	tenir	quitter	projet	gens	fort	arracher	ingénu	presque	penchant	faute	apercevoir	croire	sûr	inspirer	trait	loge	tant	mettre	impression	règne	souper	art	cher
34	remords	chambre	répondre	tendre	modèle	noble	fuir	chose	ailleurs	vivre	foi|fois	naître	manzaïde	ami	écrire	point	retirer	éprouver	gros	preuve	manière	foi|fois	maître|maîtresse	voilà	mer	gens	exemple	sommer|être	revoir	temps	concevoir	engager	mal	prix	rester	respect	tour	haut	parole	ailleurs	bateau	beaucoup	ici	parler	chercher	malheur	parler	dessein	peine	jamais	langue	homme	désespoir	ciel	utile	mœurs	reproche	branche	connaissance	foi|fois	sentir	foi|fois	public	petit	cœur	heureux	ennemi	moment	gens	monde
35	condamner	seul	chaise	entrer	tant	formosante	héler	état	présenter	jeune	travers	déjà	majesté	main	toucher	animer	brave	idée	peau	ciel	effet	beaucoup	ton	beau	divinité	passer	plaire	prier	seul	attacher	pourquoi	parler	honnête	remettre	près	acquérir	honnête	fort	ton	ici	aborder	doute	assez	chapitre	paraître	demander	entrer	opposer	jouir	unir	science	amitié	point	vierge	misère	désir	assurer	gazon	personne	permettre	doute	ajouter	concert	ignorer	montrer	occuper	province	rentrer	agréable	apprendre
36	innocence	assez	poste	relever	statue	tirer	haïr	action	raison	décharge	président	propre	seigneur	espagnol	exciter	sentir	camp	ciel	parure	père	conduire	chaud	hôtel	porter	astre	devenir	plaindre	temps	ordre	doigt	système	ajouter	capitaine	vivre	revenir	faveur	crier	arriver	alors	sûrement	danger	bon	foi|fois	aumônier	arracher	chercher	créature	conseil	joie	union	chapitre	chercher	quitter	évêque	fournir	porter	justifier	air	secours	doute	ailleurs	échapper	violon	rester	charger	satisfaire	puissance	demander	passer	alors
37	odieux	présenter	côté	quitter	talent	lance	pourquoi	libre	entrer	chier	prélat	instruction	monde	chef	amitié	cher	joindre	affliger	bras	gloire	extrême	reprendre	moment	mot	spectacle	marier	tenir	fort	demander	animal	substance	soumettre	appeler	connaître	bonheur	mépriser	amuser	bout	occuper	jour	bâtiment	ciel	ainsi	gens	élancer	lorsqu	épouser	donner	penser	maison	écrivain	campagne	moment	tête	nombre	sen|sens	effet	suivre	gens	maintenant	ignorer	sensibilité	salle	ouïr	nom	livrer	ambassadeur	voir	jeu	garçon
38	fer	temps	village	passer	sujet	recevoir	tant	raison	personne	trou	ami	usage	plat	suivre	affliger	objet	pays	tourment	dent	suprême	entrer	café	là	maison	immense	recevoir	arriver	embrasser	suivre	corde	organe	mériter	descendre	bijou	dernier	grandeur	porter	cacher	deviner	envoyer	turc	cependant	passer	vieux	tête	frère	réponse	abandonner	tant	parti	point	donner	perdre	jour	vieillard	chercher	honneur	offrir	beaucoup	alors	mettre	retirer	jeune	apprendre	main	conduite	jamais	près	rire	créature
39	encore	regarder	attendre	porter	là	présenter	digne	nécessaire	sembler	soir	chère	naturel	beau	donner	présent	délice	quartier	situation	brun	juif	passion	estomac	charmant	tendresse	univers	œil	foi|fois	regarder	laisser	casser	graine	volonté	main	ressource	oublier	mettre	honneur	donner	entrer	parfaitement	tempête	apercevoir	propre	temps	fuir	auprès	clarins	crainte	digne	temps	style	plaisir	affreux	vicaire	homme	erreur	alors	chanter	causer	convaincre	vanité	état	beau	écrier	relire	intéresser	autorité	revenir	vanité	œil
40	infortuné	moment	bois	approcher	manière	chevalerie	loin	utile	apercevoir	bougre	nouveau	exercice	barbe	commander	vivre	bouche	empereur	éloigner	blond	univers	généreux	procureur	hier	regarder	loin	jaloux	cas	pourtant	ici	dent	intelligence	forcer	plaire	grand	commencer	honnête	valoir	avancer	question	baron|baronne	habitant	enfermer	mettre	animal	bruit	permettre	concevoir	décider	écrire	engager	tant	heureux	abandonner	gardien	produire	vrai	juger	conduire	tant	jeune	propre	porter	mettre	inconnu	marquer	crainte	courtisan	doucement	mode	cependant
41	mettre	maître|maîtresse	loin	parler	forme	préparer	serment	naître	idée	puis	neveu	souvent	temps	encore	laisser	jeune	mort	espoir	grâce	prouver	écuyer	nourriture	rire	parent|parents	porter	mœurs	empêcher	laisser	lieu	tourner	moral	disposer	enfant	nouveau	arriver	estimer	propos	ouvrer|ouvrir	seul	château	tour	abord	voilà	anglais	horreur	fille	visite	éloigner	présent	mort	utile	grand	apprendre	personne	province	devenir	abuser	encore	tête	exiger	long	goûter	nouveau	époux	personne	persuader	étranger	reposer	usage	caresse
42	rage	retirer	reconnaître	pleurer	dessiner	fête	perdre	toujours	ordre	putain	galant	objet	parler	paix	cher	voir	envoyer	vivre	doigt	doctrine	fixer	fort	paraître	jeunesse	répandre	âge	convenir	déjà	déjà	côté	là	bonté	mauvais	cinquante	déjà	éclat	nez	heure	cacher	hier	descendre	enlever	grand	chapitrer	ciel	abandonner	chagrin	chercher	reconnaissance	sort	imprimer	passer	rester	sortir	ici	image	oser	côté	parler	manière	raison	nom	encore	moment	nouveau	toucher	puissant	rideau	coquetterie	tenir
43	vil	penser	sortir	foi|fois	près	courir	moment	vice	usage	augustin	comte	science	malheur	demander	dessein	trait	nombre	temps	léger	justice	rappeler	service	vrai	apprendre	génie	vieux	mettre	revenir	campagne	chair	existence	voir	moi	posséder	ainsi	place	gagner	clef	remarquer	connaître	jeter	gens	porter	seigneur	point	jeune	écrier	obstacle	passer	héritier	nom	souvent	main	entendre	habiter	jouir	perdre	vue	apprendre	saint	tromper	éprouver	placer	retirer	apporter	âme	politique	maison	charme	nourrir
44	frémir	arriver	bon	oser	placer	assez	cesser	détruire	quoiqu	derrière	pourtant	expérience	chapitre	général	long	nature	service	devenir	vêtir	prêtre	déclarer	fin	pourquoi	saint	paraître	dame	avouer	mal	prier	dos	infini	puis	ci	rente	loin	vil	fort	tomber	interrompre	puis	navire	raconter	souffrir	ariste	effort	exposer	voir	devenir	craindre	décider	héro|héros	maison	couler	demander	abondance	vérité	erreur	feuille	violent	affreux	chercher	grâce	romance	ailleurs	espérer	toujours	héro|héros	ouvrer|ouvrir	cour	maternel
45	loi	sortir	voyage	alors	simple	remettre	charme	faible	occasion	fouteur	lubin	presque	donner	ville	fortune	bientôt	entrer	dieu	toilette	croyance	personne	maître	fort	appeler	monde	honneur	propos	pleurer	chercher	cri	machine	reprendre	jour	obliger	année	dignité	reprendre	noir	surprendre	sûr	compagnon	prison	force	manger	vue	état	cacher	toujours	charmant	âge	nouveau	bon	ami	révérend	employer	corrompre	douter	bosquet	arriver	continuer	vrai	espèce	représentation	livrer	finir	affection	intérêt	appeler	encore	année
46	indigne	visite	carrosse	attendre	couleur	fidèle	pardonner	semblable	surprendre	fouetter	demeurer	heure	voyageur	nombre	souhaiter	fleur	nouveau	force	dame	cher	autant	œuf	ci	encore	eau	ci	mot	présent	rentrer	passer	agir	sortir	revenir	dépense	monde	cour	répliquer	appartement	mouvement	intéressant	point	pareil	changer	bout	sen|sens	ciel	baronnet	livrer	foi|fois	affaire	mettre	sembler	cruel	office	pain	illusion	trahir	sauvage	guérison	répondre	élire	parent	couplet	soudain	plume	recevoir	assemblée	puis	propos	estival
47	coup	chose	valet	dieu	ainsi	suivre	aveu	humanité	continuer	coup	longtemps	accoutumer	interrompre	romain	presser	instant	polonais	combien	nez	christianisme	ainsi	préparer	doute	promettre	étendre	laisser	fâcher	dame	annoncer	arracher	plante	loi	sommer|être	marchand	quitter	dessus	joli	lieu	rougir	chambre	isle	embrasser	soin	jamais	visage	souverain	jenny	nouveau	espérer	laisser	morale	revenir	verser	communauté	agriculture	âge	moyen	quitter	soigner	laisser	prouver	reconnaissance	plaisir	bonheur	mander	mouvement	ordre	maître|maîtresse	folie	nature
48	porter	aimable	chercher	revenir	idée	aventure	faiblesse	autorité	capable	femme	mimi	beaucoup	répartir	seul	chagrin	aimable	tête	supporter	diamant	hommage	penser	convive	vif	bénir	sein	épouser	ici	penser	entrer	diable	germe	entendre	mot	compter	laisser	vivre	tenir	pierre	coup	égard	traverser	présenter	cœur	tête	suivre	beau	sujet	force	mériter	mourir	composer	comprendre	soin	confesseur	lieu	philosophie	mensonge	vieillard	envoyer	réussir	seul	coup	spectateur	personne	oublier	égard	pays	tirer	occuper	auprès
49	jour	soir	voir	arrêter	presque	attacher	droit	magistrat	manquer	tenir	tant	manière	lorsqu	tomber	plaire	félicité	tenir	inquiétude	sourcil	instruire	seigneur	avaler	coup	ciel	autel	autant	autant	papa	journée	épaule	connaître	partir	crier	perdre	retrouver	patrie	police	bas	ajouter	histoire	devenir	levrette	nul	serpent	mot	assez	proposer	autant	éprouver	vivre	bibliothèque	puis	pardonner	cloître	art	sentir	surprendre	solitude	appeler	vertu	aimer	attendre	gens	mot	amitié	penser	gouverner	demain	apercevoir	mariage
